CCOMP96,CCOMP04,REG96A04,MODIF96A04,CODLOC_96,CODLOC_04
401130006,401130815,1,PARTICION,4220,4220
401130006,401130816,1,PARTICION,4220,4220
401130006,401130817,1,PARTICION,4220,4220
401130006,401130818,1,PARTICION,4220,4220
401130006,401130819,1,PARTICION,4220,4220
401130006,401130820,1,PARTICION,4220,4220
401130006,401130821,1,PARTICION,4220,4220
401130006,401130822,1,PARTICION,4220,4220
401130009,401130823,2,FUSION,4220,4220
401130014,401130824,1,PARTICION,4220,4220
401130014,401130825,1,PARTICION,4220,4220
401131014,401131014,0,SIN MODIFICACION,4220,4220
401131015,401131015,0,SIN MODIFICACION,4220,4220
401131016,401131016,0,SIN MODIFICACION,4220,4220
401131017,401131017,0,SIN MODIFICACION,4220,4220
401131018,401131018,0,SIN MODIFICACION,4220,4220
401131019,401131019,0,SIN MODIFICACION,4220,4220
401131020,401131020,0,SIN MODIFICACION,4220,4220
401131021,401131021,0,SIN MODIFICACION,4220,4220
401131022,401131022,0,SIN MODIFICACION,4220,4220
401131023,401131023,0,SIN MODIFICACION,4220,4220
401131024,401131024,0,SIN MODIFICACION,4220,4220
401131025,401131025,0,SIN MODIFICACION,4220,4220
401131026,401131026,0,SIN MODIFICACION,4220,4220
401131028,401131028,0,SIN MODIFICACION,4220,4220
401131029,401131029,0,SIN MODIFICACION,4220,4220
401131030,401131030,0,SIN MODIFICACION,4220,4220
401132010,401132010,0,SIN MODIFICACION,4220,4220
401132064,401132064,0,SIN MODIFICACION,4220,4220
401132063,401132800,1,PARTICION,4220,4220
401132063,401132801,1,PARTICION,4220,4220
401132062,401132802,1,PARTICION,4220,4220
401132062,401132803,1,PARTICION,4220,4220
401132065,401132804,0,SIN MODIFICACION,4220,4220
401132062,401132805,1,PARTICION,4220,4220
401132062,401132806,1,PARTICION,4220,4220
401132062,401132807,1,PARTICION,4220,4220
401132062,401132808,1,PARTICION,4220,4220
401132062,401132809,1,PARTICION,4220,4220
401132062,401132810,1,PARTICION,4220,4220
401132062,401132811,1,PARTICION,4220,4220
401132062,401132812,1,PARTICION,4220,4220
401132066,401132813,1,PARTICION,4220,4220
401132066,401132814,1,PARTICION,4220,4220
401132066,401132815,1,PARTICION,4220,4220
401132066,401132816,1,PARTICION,4220,4220
401132066,401132817,1,PARTICION,4220,4220
401132066,401132818,1,PARTICION,4220,4220
401132066,401132819,1,PARTICION,4220,4220
401132066,401132820,1,PARTICION,4220,4220
401132066,401132821,1,PARTICION,4220,4220
401132066,401132822,1,PARTICION,4220,4220
401132066,401132823,1,PARTICION,4220,4220
401132066,401132824,1,PARTICION,4220,4220
401132066,401132825,1,PARTICION,4220,4220
401132062,401132826,1,PARTICION,4220,4220
401132066,401132827,1,PARTICION,4220,4220
401132057,401132828,1,PARTICION,4220,4220
401132058,401132829,1,PARTICION,4220,4220
401132058,401132830,1,PARTICION,4220,4220
401132059,401132831,1,PARTICION,4220,4220
401132057,401132832,1,PARTICION,4220,4220
401132058,401132833,1,PARTICION,4220,4220
401132060,401132835,2,FUSION,4220,4220
401132059,401132836,1,PARTICION,4220,4220
401132059,401132837,1,PARTICION,4220,4220
401132066,401132838,1,PARTICION,4220,4220
401132059,401132839,1,PARTICION,4220,4220
401132058,401132840,1,PARTICION,4220,4220
401134001,401134001,0,SIN MODIFICACION,4220,4220
401134002,401134002,0,SIN MODIFICACION,4220,4220
401134003,401134003,0,SIN MODIFICACION,4220,4220
401134004,401134004,0,SIN MODIFICACION,4220,4220
401134005,401134005,0,SIN MODIFICACION,4220,4220
401134006,401134006,0,SIN MODIFICACION,4220,4220
401134007,401134007,0,SIN MODIFICACION,4220,4220
401134008,401134008,0,SIN MODIFICACION,4220,4220
401134009,401134009,0,SIN MODIFICACION,4220,4220
401134010,401134010,0,SIN MODIFICACION,4220,4220
401134011,401134011,0,SIN MODIFICACION,4220,4220
401134012,401134012,0,SIN MODIFICACION,4220,4220
401134013,401134013,0,SIN MODIFICACION,4220,4220
401134014,401134014,0,SIN MODIFICACION,4220,4220
401134015,401134015,0,SIN MODIFICACION,4220,4220
401134016,401134016,0,SIN MODIFICACION,4220,4220
401134017,401134017,0,SIN MODIFICACION,4220,4220
401134400,401134400,0,SIN MODIFICACION,4220,4220
401134401,401134401,0,SIN MODIFICACION,4220,4220
401134402,401134402,0,SIN MODIFICACION,4220,4220
401134403,401134403,0,SIN MODIFICACION,4220,4220
401134900,401134900,0,SIN MODIFICACION,4220,4220
401215016,401215016,0,SIN MODIFICACION,4220,4220
401215017,401215017,0,SIN MODIFICACION,4220,4220
401215018,401215018,0,SIN MODIFICACION,4220,4220
401215019,401215019,0,SIN MODIFICACION,4220,4220
401215020,401215020,0,SIN MODIFICACION,4220,4220
401215021,401215021,0,SIN MODIFICACION,4220,4220
401215022,401215022,0,SIN MODIFICACION,4220,4220
401215023,401215023,0,SIN MODIFICACION,4220,4220
401215024,401215024,0,SIN MODIFICACION,4220,4220
401215025,401215025,0,SIN MODIFICACION,4220,4220
401215026,401215026,0,SIN MODIFICACION,4220,4220
401215027,401215027,0,SIN MODIFICACION,4220,4220
401215028,401215028,0,SIN MODIFICACION,4220,4220
401215029,401215029,0,SIN MODIFICACION,4220,4220
401215030,401215030,0,SIN MODIFICACION,4220,4220
401229016,401229016,0,SIN MODIFICACION,4220,4220
401229017,401229017,0,SIN MODIFICACION,4220,4220
401229018,401229018,0,SIN MODIFICACION,4220,4220
401229019,401229019,0,SIN MODIFICACION,4220,4220
401229020,401229020,0,SIN MODIFICACION,4220,4220
401229021,401229021,0,SIN MODIFICACION,4220,4220
401229022,401229022,0,SIN MODIFICACION,4220,4220
401229023,401229023,0,SIN MODIFICACION,4220,4220
401229024,401229024,0,SIN MODIFICACION,4220,4220
401229025,401229025,0,SIN MODIFICACION,4220,4220
401229026,401229026,0,SIN MODIFICACION,4220,4220
401229027,401229027,0,SIN MODIFICACION,4220,4220
401229028,401229028,0,SIN MODIFICACION,4220,4220
401229029,401229029,0,SIN MODIFICACION,4220,4220
401229030,401229030,0,SIN MODIFICACION,4220,4220
401229400,401229400,0,SIN MODIFICACION,4220,4220
401040003,401229801,1,PARTICION,4900,4220
401040003,401229813,1,PARTICION,4900,4220
401040003,401229814,1,PARTICION,4900,4220
401230024,401230024,0,SIN MODIFICACION,4220,4220
401230025,401230025,0,SIN MODIFICACION,4220,4220
401230026,401230026,0,SIN MODIFICACION,4220,4220
401230027,401230027,0,SIN MODIFICACION,4220,4220
401230029,401230029,0,SIN MODIFICACION,4220,4220
401230030,401230030,0,SIN MODIFICACION,4220,4220
401230031,401230031,0,SIN MODIFICACION,4220,4220
401230033,401230033,0,SIN MODIFICACION,4220,4220
401230034,401230034,0,SIN MODIFICACION,4220,4220
401230035,401230035,0,SIN MODIFICACION,4220,4220
401230036,401230036,0,SIN MODIFICACION,4220,4220
401230037,401230037,0,SIN MODIFICACION,4220,4220
401230038,401230038,0,SIN MODIFICACION,4220,4220
401230039,401230039,0,SIN MODIFICACION,4220,4220
401230040,401230040,0,SIN MODIFICACION,4220,4220
401230041,401230041,0,SIN MODIFICACION,4220,4220
401230042,401230042,0,SIN MODIFICACION,4220,4220
401230043,401230043,0,SIN MODIFICACION,4220,4220
401230044,401230044,0,SIN MODIFICACION,4220,4220
401230045,401230045,0,SIN MODIFICACION,4220,4220
401230046,401230046,0,SIN MODIFICACION,4220,4220
401230047,401230047,0,SIN MODIFICACION,4220,4220
401230049,401230049,0,SIN MODIFICACION,4220,4220
401230050,401230050,0,SIN MODIFICACION,4220,4220
401230052,401230052,0,SIN MODIFICACION,4220,4220
401230053,401230053,0,SIN MODIFICACION,4220,4220
401230054,401230054,0,SIN MODIFICACION,4220,4220
401230055,401230055,0,SIN MODIFICACION,4220,4220
401230056,401230056,0,SIN MODIFICACION,4220,4220
401230028,401230800,1,PARTICION,4220,4220
401230028,401230801,1,PARTICION,4220,4220
401230028,401230802,1,PARTICION,4220,4220
401230028,401230803,1,PARTICION,4220,4220
401230028,401230804,1,PARTICION,4220,4220
401230028,401230805,1,PARTICION,4220,4220
401230028,401230806,1,PARTICION,4220,4220
401230028,401230807,1,PARTICION,4220,4220
